Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source,Directory_Structure,Output_Location,Detection_Method
1,545.916,100.000,99.394,Minor,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
2,435.642,83.021,80.879,Minor,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
3,763.370,53.582,52.116,Minor,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
4,811.028,52.442,50.746,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
5,751.240,22.542,20.578,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
6,738.321,20.107,18.469,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
7,772.276,19.077,16.549,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
8,801.074,18.078,16.165,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
9,578.802,18.001,16.166,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
10,404.380,17.432,15.381,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
11,841.954,15.546,14.163,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
12,576.848,15.217,5.878,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
13,696.495,13.847,12.101,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
14,794.577,13.796,11.586,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
15,706.726,12.788,10.878,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
16,364.895,9.799,8.716,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
17,840.121,9.144,1.891,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
18,428.390,6.892,1.187,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
19,826.076,6.411,4.827,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
20,507.027,5.805,3.111,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
21,415.245,5.400,1.823,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
22,912.316,5.340,4.581,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
23,727.237,4.833,2.814,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
24,407.505,4.473,1.114,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
25,851.733,4.342,2.955,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
26,729.452,4.232,1.311,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
27,313.024,4.013,3.216,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
28,847.250,3.678,1.871,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
29,626.193,3.499,1.761,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
30,714.561,3.481,1.564,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
31,565.339,2.961,1.101,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
32,871.303,2.615,1.548,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
33,922.727,2.102,1.455,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
