Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,545.916,100.000,99.069,Minor,UV_811nm_15000_to_100,811.0,UV
2,435.642,98.424,97.037,Minor,UV_811nm_15000_to_100,811.0,UV
3,763.370,47.525,45.368,Minor,UV_811nm_15000_to_100,811.0,UV
4,811.028,43.759,42.279,Minor,UV_811nm_15000_to_100,811.0,UV
5,404.380,21.511,19.763,Minor,UV_811nm_15000_to_100,811.0,UV
6,751.240,20.770,18.926,Medium,UV_811nm_15000_to_100,811.0,UV
7,738.321,19.114,17.058,Medium,UV_811nm_15000_to_100,811.0,UV
8,772.276,17.621,14.779,Medium,UV_811nm_15000_to_100,811.0,UV
9,578.802,17.203,15.401,Medium,UV_811nm_15000_to_100,811.0,UV
10,576.653,15.566,5.732,Medium,UV_811nm_15000_to_100,811.0,UV
11,800.871,15.278,13.094,Medium,UV_811nm_15000_to_100,811.0,UV
12,696.495,13.208,11.648,Medium,UV_811nm_15000_to_100,811.0,UV
13,706.525,12.573,10.609,Medium,UV_811nm_15000_to_100,811.0,UV
14,365.075,12.192,10.967,Medium,UV_811nm_15000_to_100,811.0,UV
15,841.954,12.179,11.038,Medium,UV_811nm_15000_to_100,811.0,UV
16,794.374,11.731,9.118,Strong,UV_811nm_15000_to_100,811.0,UV
17,803.308,6.538,0.704,Strong,UV_811nm_15000_to_100,811.0,UV
18,844.195,5.978,0.243,Strong,UV_811nm_15000_to_100,811.0,UV
19,825.669,5.560,4.025,Strong,UV_811nm_15000_to_100,811.0,UV
20,407.321,5.446,1.430,Strong,UV_811nm_15000_to_100,811.0,UV
21,698.700,5.415,0.202,Strong,UV_811nm_15000_to_100,811.0,UV
22,729.855,5.247,3.331,Strong,UV_811nm_15000_to_100,811.0,UV
23,912.316,4.763,4.098,Strong,UV_811nm_15000_to_100,811.0,UV
24,727.237,4.589,1.172,Strong,UV_811nm_15000_to_100,811.0,UV
25,623.227,4.249,1.395,Strong,UV_811nm_15000_to_100,811.0,UV
26,715.164,4.118,2.261,Strong,UV_811nm_15000_to_100,811.0,UV
27,603.904,4.029,1.155,Strong,UV_811nm_15000_to_100,811.0,UV
28,635.298,4.024,1.282,Strong,UV_811nm_15000_to_100,811.0,UV
29,847.046,3.989,1.884,Strong,UV_811nm_15000_to_100,811.0,UV
30,755.282,3.874,0.280,Strong,UV_811nm_15000_to_100,811.0,UV
31,666.506,3.870,1.325,Major,UV_811nm_15000_to_100,811.0,UV
32,625.995,3.851,1.615,Major,UV_811nm_15000_to_100,811.0,UV
33,851.733,3.845,2.091,Major,UV_811nm_15000_to_100,811.0,UV
34,432.664,3.817,0.559,Major,UV_811nm_15000_to_100,811.0,UV
35,616.316,3.816,1.268,Major,UV_811nm_15000_to_100,811.0,UV
36,642.833,3.810,1.768,Major,UV_811nm_15000_to_100,811.0,UV
37,672.491,3.792,1.714,Major,UV_811nm_15000_to_100,811.0,UV
38,798.028,3.792,0.807,Major,UV_811nm_15000_to_100,811.0,UV
39,632.921,3.766,0.898,Major,UV_811nm_15000_to_100,811.0,UV
40,618.290,3.736,0.706,Major,UV_811nm_15000_to_100,811.0,UV
41,608.432,3.724,1.122,Major,UV_811nm_15000_to_100,811.0,UV
42,828.314,3.718,0.416,Major,UV_811nm_15000_to_100,811.0,UV
43,723.411,3.651,1.445,Major,UV_811nm_15000_to_100,811.0,UV
44,593.099,3.625,1.199,Major,UV_811nm_15000_to_100,811.0,UV
45,658.536,3.616,0.983,Major,UV_811nm_15000_to_100,811.0,UV
46,613.752,3.573,0.948,Major,UV_811nm_15000_to_100,811.0,UV
47,770.251,3.530,0.714,Major,UV_811nm_15000_to_100,811.0,UV
48,653.562,3.524,1.059,Major,UV_811nm_15000_to_100,811.0,UV
49,742.961,3.521,0.402,Major,UV_811nm_15000_to_100,811.0,UV
50,598.793,3.503,1.343,Major,UV_811nm_15000_to_100,811.0,UV
