Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,Feature_Key,SNR,Baseline_Quality,Baseline_Width_nm,Baseline_CV_Percent,Laser_Suitability,Resolution_Class,Baseline_Std_Dev,Baseline_Used,Norm_Factor,Normalization_Method,Target_Ref_Intensity,Peak_Width_nm,Peak_Prominence,Click_Order,Laser_Critical,Reference_Wavelength_Used,total_width_nm,left_width_nm,right_width_nm,symmetry_ratio,skew_description,skew_severity,width_class,laser_character,resolution_points,resolution_quality,Normalization_Scheme,Reference_Wavelength,Analyzer_Version,Analysis_Date,Analysis_Time,Intensity_Range_Min,Intensity_Range_Max,Target_Reference_Intensity,Scaling_Factor,Is_Laser_Critical_Peak,Total_Spectrum_Points,Wavelength_Range_Min,Wavelength_Range_Max,Wavelength_Span_nm,Resolution_Estimate_nm_per_point,Critical_Peaks_In_Range,Baseline_SNR,Laser_Critical_Peaks_Found,Critical_Peak_Wavelengths
Baseline_Start,189LP4.txt,Laser,301.190,-6.570,Start,Baseline,Enhanced_Baseline_Laser_Normalized,Baseline_0,-0.500,Poor,56.300,inf,May miss fine laser features,Ultra-high,4.162,-2.180,6.847,laser_max_50000_to_100,50000.000,40.755,7301.980,,,,,,,,,,,,,,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
Baseline_End,189LP4.txt,Laser,357.500,-6.080,End,Baseline,Enhanced_Baseline_Laser_Normalized,Baseline_0,-0.500,Poor,56.300,inf,May miss fine laser features,Ultra-high,4.162,-2.180,6.847,laser_max_50000_to_100,50000.000,40.755,7301.980,,,,,,,,,,,,,,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
Peak_Max,189LP4.txt,Laser,430.770,89.410,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_0,,Poor,56.300,inf,May miss fine laser features,Ultra-high,,-2.180,6.847,laser_max_50000_to_100,,40.755,7301.980,1.000,True,452.649,,,,,,,,,,,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
Mound_Start,189LP4.txt,Laser,421.600,0.300,Start,Mound,Enhanced_Baseline_Laser_Normalized,Mound_0,,Poor,56.300,inf,May miss fine laser features,Ultra-high,,-2.180,6.847,laser_max_50000_to_100,,40.755,7301.980,1.000,,452.649,,,,,,,,,,,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
Mound_Crest,189LP4.txt,Laser,451.920,99.710,Crest,Mound,Enhanced_Baseline_Laser_Normalized,Mound_0,,Poor,56.300,inf,May miss fine laser features,Ultra-high,,-2.180,6.847,laser_max_50000_to_100,,40.755,7301.980,2.000,,452.649,,,,,,,,,,,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
Mound_End,189LP4.txt,Laser,804.480,0.420,End,Mound,Enhanced_Baseline_Laser_Normalized,Mound_0,,Poor,56.300,inf,May miss fine laser features,Ultra-high,,-2.180,6.847,laser_max_50000_to_100,,40.755,7301.980,3.000,,452.649,,,,,,,,,,,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
Mound_Summary,189LP4.txt,Laser,451.920,99.710,Summary,Mound,Enhanced_Baseline_Laser_Normalized,Mound_0,,Poor,56.300,inf,May miss fine laser features,Ultra-high,,,,laser_max_50000_to_100,,40.755,7301.980,,,,382.880,30.320,352.560,0.086,Left Skewed,Strong,Very Broad,Mound-like,1965.800,Excellent,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
Peak_Max,189LP4.txt,Laser,503.460,24.130,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_1,,Poor,56.300,inf,May miss fine laser features,Ultra-high,,-2.180,6.847,laser_max_50000_to_100,,40.755,7301.980,1.000,True,452.649,,,,,,,,,,,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
Peak_Max,189LP4.txt,Laser,575.650,11.140,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_2,,Poor,56.300,inf,May miss fine laser features,Ultra-high,,-2.180,6.847,laser_max_50000_to_100,,40.755,7301.980,1.000,True,452.649,,,,,,,,,,,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
Peak_Max,189LP4.txt,Laser,738.950,6.340,Max,Peak,Enhanced_Baseline_Laser_Normalized,Peak_3,,Poor,56.300,inf,May miss fine laser features,Ultra-high,,-2.180,6.847,laser_max_50000_to_100,,40.755,7301.980,1.000,True,452.649,,,,,,,,,,,Laser_Max_50000_to_100,452.649,LASER_ULTRA_OPTIMIZED_v1.0,2025-08-31,17:14:48,0.000,100.000,50000.000,6.847,False,3653,293.022,1004.518,711.496,0.195,2,-0.500,1,522.2nm
