Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,435.642,100.000,99.460,Minor,UV_811nm_15000_to_100,811.0,UV
2,545.916,85.790,84.767,Minor,UV_811nm_15000_to_100,811.0,UV
3,763.370,31.476,30.243,Minor,UV_811nm_15000_to_100,811.0,UV
4,811.231,30.735,29.332,Minor,UV_811nm_15000_to_100,811.0,UV
5,404.380,26.992,25.294,Minor,UV_811nm_15000_to_100,811.0,UV
6,364.895,16.716,15.532,Medium,UV_811nm_15000_to_100,811.0,UV
7,578.802,13.813,12.528,Medium,UV_811nm_15000_to_100,811.0,UV
8,751.442,13.706,12.180,Medium,UV_811nm_15000_to_100,811.0,UV
9,738.321,12.418,11.083,Medium,UV_811nm_15000_to_100,811.0,UV
10,576.848,11.683,4.282,Medium,UV_811nm_15000_to_100,811.0,UV
11,772.276,11.406,9.363,Medium,UV_811nm_15000_to_100,811.0,UV
12,801.074,10.979,9.249,Medium,UV_811nm_15000_to_100,811.0,UV
13,841.751,9.539,8.492,Medium,UV_811nm_15000_to_100,811.0,UV
14,696.495,8.876,7.518,Medium,UV_811nm_15000_to_100,811.0,UV
15,794.577,8.546,6.671,Medium,UV_811nm_15000_to_100,811.0,UV
16,706.726,8.016,6.559,Strong,UV_811nm_15000_to_100,811.0,UV
17,840.121,6.063,1.280,Strong,UV_811nm_15000_to_100,811.0,UV
18,407.505,5.630,1.469,Strong,UV_811nm_15000_to_100,811.0,UV
19,730.057,4.849,3.206,Strong,UV_811nm_15000_to_100,811.0,UV
20,313.024,4.534,3.784,Strong,UV_811nm_15000_to_100,811.0,UV
21,803.511,4.290,0.217,Strong,UV_811nm_15000_to_100,811.0,UV
22,826.076,4.275,2.964,Strong,UV_811nm_15000_to_100,811.0,UV
23,626.193,3.760,2.267,Strong,UV_811nm_15000_to_100,811.0,UV
24,912.316,3.564,2.866,Strong,UV_811nm_15000_to_100,811.0,UV
25,731.870,3.381,0.328,Strong,UV_811nm_15000_to_100,811.0,UV
26,727.438,3.372,1.193,Strong,UV_811nm_15000_to_100,811.0,UV
27,847.250,3.273,1.927,Strong,UV_811nm_15000_to_100,811.0,UV
28,851.121,3.195,1.929,Strong,UV_811nm_15000_to_100,811.0,UV
29,826.890,3.170,0.332,Strong,UV_811nm_15000_to_100,811.0,UV
30,871.303,2.960,1.926,Strong,UV_811nm_15000_to_100,811.0,UV
31,445.159,2.926,1.174,Major,UV_811nm_15000_to_100,811.0,UV
32,432.664,2.894,0.235,Major,UV_811nm_15000_to_100,811.0,UV
33,798.231,2.864,0.450,Major,UV_811nm_15000_to_100,811.0,UV
34,715.164,2.803,1.167,Major,UV_811nm_15000_to_100,811.0,UV
35,426.348,2.713,0.645,Major,UV_811nm_15000_to_100,811.0,UV
36,415.245,2.697,0.879,Major,UV_811nm_15000_to_100,811.0,UV
37,419.680,2.645,0.706,Major,UV_811nm_15000_to_100,811.0,UV
38,415.984,2.616,0.207,Major,UV_811nm_15000_to_100,811.0,UV
39,427.276,2.614,0.263,Major,UV_811nm_15000_to_100,811.0,UV
40,741.952,2.591,0.205,Major,UV_811nm_15000_to_100,811.0,UV
41,428.947,2.590,0.253,Major,UV_811nm_15000_to_100,811.0,UV
42,430.247,2.555,0.347,Major,UV_811nm_15000_to_100,811.0,UV
43,769.644,2.546,0.499,Major,UV_811nm_15000_to_100,811.0,UV
44,565.339,2.537,1.117,Major,UV_811nm_15000_to_100,811.0,UV
45,550.179,2.478,0.270,Major,UV_811nm_15000_to_100,811.0,UV
46,430.805,2.463,0.269,Major,UV_811nm_15000_to_100,811.0,UV
47,716.772,2.459,0.569,Major,UV_811nm_15000_to_100,811.0,UV
48,420.975,2.455,0.241,Major,UV_811nm_15000_to_100,811.0,UV
49,440.489,2.434,0.223,Major,UV_811nm_15000_to_100,811.0,UV
50,431.548,2.433,0.365,Major,UV_811nm_15000_to_100,811.0,UV
