Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,200UC1.txt,UV,937.88,54.82,Start,Baseline,Baseline_Then_UV_Normalized,2.3,Baseline_0,35.42,15.933123370174254,uv_811nm_15000_to_100,,UV_811nm_15000_to_100,811.028,0.0,100.0
Baseline_End,200UC1.txt,UV,999.38,38.18,End,Baseline,Baseline_Then_UV_Normalized,2.3,Baseline_0,35.42,15.933123370174254,uv_811nm_15000_to_100,,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,311.59,1.22,Max,Peak,Baseline_Then_UV_Normalized,,Peak_2,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,363.56,1.65,Max,Peak,Baseline_Then_UV_Normalized,,Peak_3,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,403.41,7.52,Max,Peak,Baseline_Then_UV_Normalized,,Peak_4,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,406.87,4.69,Max,Peak,Baseline_Then_UV_Normalized,,Peak_5,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,435.46,89.92,Max,Peak,Baseline_Then_UV_Normalized,,Peak_6,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,507.36,88.47,Max,Peak,Baseline_Then_UV_Normalized,,Peak_7,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,544.6,5.18,Max,Peak,Baseline_Then_UV_Normalized,,Peak_8,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,576.62,11.34,Max,Peak,Baseline_Then_UV_Normalized,,Peak_9,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,578.69,13.16,Max,Peak,Baseline_Then_UV_Normalized,,Peak_10,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,695.33,1.99,Max,Peak,Baseline_Then_UV_Normalized,,Peak_11,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,705.73,2.43,Max,Peak,Baseline_Then_UV_Normalized,,Peak_12,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,729.98,4.71,Max,Peak,Baseline_Then_UV_Normalized,,Peak_13,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,737.78,7.05,Max,Peak,Baseline_Then_UV_Normalized,,Peak_14,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,750.77,9.34,Max,Peak,Baseline_Then_UV_Normalized,,Peak_15,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,761.16,4.28,Max,Peak,Baseline_Then_UV_Normalized,,Peak_16,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,771.56,5.54,Max,Peak,Baseline_Then_UV_Normalized,,Peak_17,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,793.22,2.3,Max,Peak,Baseline_Then_UV_Normalized,,Peak_18,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,798.41,2.8,Max,Peak,Baseline_Then_UV_Normalized,,Peak_19,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,810.54,16.65,Max,Peak,Baseline_Then_UV_Normalized,,Peak_20,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,839.99,3.66,Max,Peak,Baseline_Then_UV_Normalized,,Peak_21,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
Peak_Max,200UC1.txt,UV,911.92,1.91,Max,Peak,Baseline_Then_UV_Normalized,,Peak_22,35.42,15.933123370174254,uv_811nm_15000_to_100,811.028,UV_811nm_15000_to_100,811.028,0.0,100.0
