Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Symmetry_Ratio,Skew_Description,Width_nm,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,224BC3.txt,Halogen,300.33,71.98,Start,Baseline,Baseline_Then_Halogen_Normalized,9.4,Baseline_0,81.91,20.597806004095666,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Baseline_End,224BC3.txt,Halogen,349.7,75.26,End,Baseline,Baseline_Then_Halogen_Normalized,9.4,Baseline_0,81.91,20.597806004095666,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Start,224BC3.txt,Halogen,413.8,0.64,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Crest,224BC3.txt,Halogen,758.57,99.54,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_End,224BC3.txt,Halogen,968.2,0.18,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Summary,224BC3.txt,Halogen,758.57,99.54,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,,,halogen_650nm_50000_to_100,,1.645,Right Skewed,554.39,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Start,224BC3.txt,Halogen,471.78,18.77,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Bottom,224BC3.txt,Halogen,477.23,18.47,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_End,224BC3.txt,Halogen,480.13,20.89,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Start,224BC3.txt,Halogen,484.83,25.97,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Crest,224BC3.txt,Halogen,549.8,48.45,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_End,224BC3.txt,Halogen,617.37,40.18,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Summary,224BC3.txt,Halogen,549.8,48.45,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,,,halogen_650nm_50000_to_100,,0.962,Symmetric,132.53,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Diagnostic Region_Start,224BC3.txt,Halogen,645.95,45.72,Start,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Diagnostic Region_End,224BC3.txt,Halogen,725.65,63.01,End,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Start,224BC3.txt,Halogen,735.58,70.93,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Bottom,224BC3.txt,Halogen,741.1,67.36,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_End,224BC3.txt,Halogen,744.86,75.19,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,81.91,20.597806004095666,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
