Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,SNR,Feature_Key,Baseline_Used,Norm_Factor,Normalization_Method,Reference_Wavelength_Used,Symmetry_Ratio,Skew_Description,Width_nm,Normalization_Scheme,Reference_Wavelength,Intensity_Range_Min,Intensity_Range_Max
Baseline_Start,224BP4.txt,Halogen,300.33,97.11,Start,Baseline,Baseline_Then_Halogen_Normalized,9.9,Baseline_0,112.82,20.154951265327842,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Baseline_End,224BP4.txt,Halogen,349.7,109.86,End,Baseline,Baseline_Then_Halogen_Normalized,9.9,Baseline_0,112.82,20.154951265327842,halogen_650nm_50000_to_100,,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Start,224BP4.txt,Halogen,414.67,0.18,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Crest,224BP4.txt,Halogen,761.16,99.01,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_End,224BP4.txt,Halogen,964.73,0.14,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Summary,224BP4.txt,Halogen,761.16,99.01,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_2,,,halogen_650nm_50000_to_100,,1.702,Right Skewed,550.06,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Start,224BP4.txt,Halogen,472.84,16.2,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Bottom,224BP4.txt,Halogen,477.43,15.43,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_End,224BP4.txt,Halogen,481.18,19.03,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_6,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Start,224BP4.txt,Halogen,485.7,23.31,Start,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Crest,224BP4.txt,Halogen,543.74,41.07,Crest,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_End,224BP4.txt,Halogen,619.1,27.79,End,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Mound_Summary,224BP4.txt,Halogen,543.74,41.07,Summary,Mound,Baseline_Then_Halogen_Normalized,,Mound_9,,,halogen_650nm_50000_to_100,,0.77,Left Skewed,133.4,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Diagnostic Region_Start,224BP4.txt,Halogen,649.42,33.73,Start,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Diagnostic Region_End,224BP4.txt,Halogen,727.38,58.47,End,Diagnostic Region,Baseline_Then_Halogen_Normalized,,Diagnostic Region_13,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Start,224BP4.txt,Halogen,735.32,65.49,Start,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_Bottom,224BP4.txt,Halogen,740.13,63.73,Bottom,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
Trough_End,224BP4.txt,Halogen,744.05,69.43,End,Trough,Baseline_Then_Halogen_Normalized,,Trough_15,112.82,20.154951265327842,halogen_650nm_50000_to_100,654.954,,,,Halogen_650nm_50000_to_100,654.954,0.0,100.0
