Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source,Directory_Structure,Output_Location,Detection_Method
1,435.456,100.000,99.736,Minor,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
2,545.722,77.227,76.860,Minor,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
3,404.197,31.953,31.392,Minor,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
4,364.715,20.835,20.558,Medium,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
5,578.607,10.685,10.535,Medium,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
6,576.653,9.441,4.183,Medium,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
7,763.370,7.746,7.524,Medium,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
8,811.028,4.904,4.813,Medium,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
9,696.495,4.730,4.505,Medium,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
10,407.321,4.465,1.587,Strong,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
11,738.321,4.082,3.854,Strong,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
12,751.240,3.870,3.676,Strong,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
13,706.525,3.807,3.547,Strong,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
14,730.057,3.654,3.348,Strong,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
15,772.074,2.305,2.122,Strong,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
16,800.871,1.649,1.480,Strong,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
17,871.099,1.535,1.489,Strong,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
18,841.751,1.334,1.299,Strong,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
19,794.374,1.247,1.064,Major,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
20,419.495,1.154,0.545,Major,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
21,912.316,1.075,1.033,Major,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
22,415.614,1.014,0.378,Major,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
23,727.237,0.947,0.343,Major,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
24,426.719,0.784,0.244,Major,UV_811nm_15000_to_100_FIXED,811.0,UV,Fixed_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data\uv,GeminiUVPeakDetector_Auto
