Feature,File,Light_Source,Wavelength,Intensity,Point_Type,Feature_Group,Processing,Feature_Key,SNR,Baseline_Quality,Baseline_Width_nm,Baseline_CV_Percent,Baseline_Std_Dev,Baseline_Used,Norm_Factor,Normalization_Method,Target_Ref_Intensity,Click_Order,Reference_Wavelength_Used,total_width_nm,left_width_nm,right_width_nm,symmetry_ratio,skew_description,skew_severity,width_class,Normalization_Scheme,Reference_Wavelength,Analyzer_Version,Analysis_Date,Analysis_Time,Intensity_Range_Min,Intensity_Range_Max,Target_Reference_Intensity,Scaling_Factor,Total_Spectrum_Points,Wavelength_Range_Min,Wavelength_Range_Max,Wavelength_Span_nm,Baseline_SNR
Baseline_Start,92BC1.txt,Halogen,299.460,0.020,Start,Baseline,Enhanced_Baseline_Halogen_Normalized,Baseline_0,10.000,Poor,50.200,10.000,0.003,0.030,8008.329,halogen_650nm_50000_to_100,50000.000,,,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Baseline_End,92BC1.txt,Halogen,349.700,0.030,End,Baseline,Enhanced_Baseline_Halogen_Normalized,Baseline_0,10.000,Poor,50.200,10.000,0.003,0.030,8008.329,halogen_650nm_50000_to_100,50000.000,,,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Mound_Start,92BC1.txt,Halogen,425.060,0.460,Start,Mound,Enhanced_Baseline_Halogen_Normalized,Mound_0,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,1.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Mound_Crest,92BC1.txt,Halogen,686.670,88.660,Crest,Mound,Enhanced_Baseline_Halogen_Normalized,Mound_0,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,2.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Mound_End,92BC1.txt,Halogen,974.260,0.100,End,Mound,Enhanced_Baseline_Halogen_Normalized,Mound_0,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,3.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Mound_Summary,92BC1.txt,Halogen,686.670,88.660,Summary,Mound,Enhanced_Baseline_Halogen_Normalized,Mound_0,,Poor,50.200,10.000,,,,halogen_650nm_50000_to_100,,,,549.190,261.600,287.590,0.910,Symmetric,None,Very Broad,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Mound_Start,92BC1.txt,Halogen,425.060,0.460,Start,Mound,Enhanced_Baseline_Halogen_Normalized,Mound_4,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,1.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Mound_Crest,92BC1.txt,Halogen,495.230,15.690,Crest,Mound,Enhanced_Baseline_Halogen_Normalized,Mound_4,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,2.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Mound_End,92BC1.txt,Halogen,541.140,11.740,End,Mound,Enhanced_Baseline_Halogen_Normalized,Mound_4,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,3.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Mound_Summary,92BC1.txt,Halogen,495.230,15.690,Summary,Mound,Enhanced_Baseline_Halogen_Normalized,Mound_4,,Poor,50.200,10.000,,,,halogen_650nm_50000_to_100,,,,116.080,70.170,45.910,1.528,Right Skewed,Moderate,Broad,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Peak_Max,92BC1.txt,Halogen,692.730,95.370,Max,Peak,Enhanced_Baseline_Halogen_Normalized,Peak_0,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,1.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Trough_Start,92BC1.txt,Halogen,466.150,10.410,Start,Trough,Enhanced_Baseline_Halogen_Normalized,Trough_0,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,1.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Trough_Bottom,92BC1.txt,Halogen,468.320,10.610,Bottom,Trough,Enhanced_Baseline_Halogen_Normalized,Trough_0,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,2.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Trough_End,92BC1.txt,Halogen,470.630,11.670,End,Trough,Enhanced_Baseline_Halogen_Normalized,Trough_0,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,3.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Trough_Start,92BC1.txt,Halogen,473.080,12.460,Start,Trough,Enhanced_Baseline_Halogen_Normalized,Trough_3,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,1.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Trough_Bottom,92BC1.txt,Halogen,475.600,12.640,Bottom,Trough,Enhanced_Baseline_Halogen_Normalized,Trough_3,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,2.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
Trough_End,92BC1.txt,Halogen,478.750,13.670,End,Trough,Enhanced_Baseline_Halogen_Normalized,Trough_3,,Poor,50.200,10.000,,0.030,8008.329,halogen_650nm_50000_to_100,,3.000,654.954,,,,,,,,Halogen_650nm_50000_to_100,654.954,ULTRA_OPTIMIZED_v1.0,2025-08-28,06:26:14,0.000,100.000,50000.000,8008.329,3653,293.022,1004.518,711.496,10.000
