Feature,Wavelength,Intensity,Point_Type,Feature_Group,SNR,Baseline_Used,Processing,Prominence,File,Light_Source,Symmetry_Ratio,Skew_Description,Width_nm,Norm_Factor
Baseline_Start,300.12,0.02,Start,Baseline,17.1,0.02,Auto_300-325nm_Baseline,,,,,,,
Baseline_End,324.97,0.02,End,Baseline,17.1,0.02,Auto_300-325nm_Baseline,,,,,,,
Peak_Max,498.43,15.87,Max,Peak_1,,,Auto_Baseline_Normalized,3.99,92BC1.txt,Halogen,,,,
Peak_Max,694.29,100.0,Max,Peak_2,,,Auto_Baseline_Normalized,99.99,92BC1.txt,Halogen,,,,
Peak_Max,701.51,89.7,Max,Peak_3,,,Auto_Baseline_Normalized,0.87,92BC1.txt,Halogen,,,,
Mound_Start,315.83,0.02,Start,Mound_1,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,,
Mound_Crest,498.43,15.87,Crest,Mound_1,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,,
Mound_End,981.29,0.04,End,Mound_1,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,,
Mound_Summary,498.43,15.87,Summary,Mound_1,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,0.378,Left Skewed,665.46,1.0
Mound_Start,315.83,0.02,Start,Mound_2,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,,
Mound_Crest,694.29,100.0,Crest,Mound_2,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,,
Mound_End,981.29,0.04,End,Mound_2,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,,
Mound_Summary,694.29,100.0,Summary,Mound_2,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,1.319,Right Skewed,665.46,1.0
Plateau_Start,293.02,0.03,Start,Plateau_1,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,136.48,
Plateau_Midpoint,360.04,0.18,Midpoint,Plateau_1,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,136.48,
Plateau_End,429.5,0.8,End,Plateau_1,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,136.48,
Plateau_Start,484.92,15.09,Start,Plateau_2,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,25.55,
Plateau_Midpoint,497.67,15.6,Midpoint,Plateau_2,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,25.55,
Plateau_End,510.47,15.1,End,Plateau_2,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,25.55,
Plateau_Start,528.34,12.67,Start,Plateau_3,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,24.95,
Plateau_Midpoint,540.88,12.16,Midpoint,Plateau_3,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,24.95,
Plateau_End,553.28,12.65,End,Plateau_3,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,24.95,
Plateau_Start,963.34,0.78,Start,Plateau_4,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,41.18,
Plateau_Midpoint,983.94,0.16,Midpoint,Plateau_4,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,41.18,
Plateau_End,1004.52,0.0,End,Plateau_4,17.1,0.02,Auto_Baseline_Normalized,,92BC1.txt,Halogen,,,41.18,
