Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source,Directory_Structure,Output_Location,Detection_Method
1,545.916,100.000,99.664,Minor,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
2,435.642,83.138,81.402,Minor,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
3,763.370,52.037,50.673,Minor,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
4,811.028,50.806,49.354,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
5,751.240,22.338,20.649,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
6,738.321,19.984,18.385,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
7,772.276,18.601,16.386,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
8,578.802,18.014,16.441,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
9,801.074,17.459,15.738,Medium,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
10,404.380,17.090,15.312,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
11,576.848,15.308,6.306,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
12,841.954,15.081,13.934,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
13,696.495,13.641,12.104,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
14,794.577,13.207,11.045,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
15,706.726,12.462,10.726,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
16,364.895,9.439,8.630,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
17,840.325,9.022,2.087,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
18,507.027,6.421,4.268,Strong,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
19,826.076,6.042,4.694,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
20,912.112,5.236,4.663,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
21,727.237,4.718,2.930,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
22,415.984,4.435,1.520,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
23,851.733,4.128,2.931,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
24,729.452,4.076,1.388,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
25,312.849,3.563,3.040,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
26,626.193,3.279,1.724,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
27,714.561,3.003,1.227,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
28,847.250,2.988,1.517,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
29,871.303,2.528,1.674,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
30,922.523,1.895,1.469,Major,UV_811nm_15000_to_100_UPDATED,811.0,UV,Consolidated_Structural_Data_Directory,C:\Users\David\OneDrive\Desktop\gemini_gemological_analysis\data\structural_data,GeminiUVPeakDetector_Auto
