Peak_Number,Wavelength_nm,Intensity,Prominence,Category,Normalization_Scheme,Reference_Wavelength,Light_Source
1,545.916,100.000,97.759,Minor,UV_811nm_15000_to_100,811.0,UV
2,435.642,96.183,92.750,Minor,UV_811nm_15000_to_100,811.0,UV
3,763.370,44.071,39.907,Minor,UV_811nm_15000_to_100,811.0,UV
4,811.028,41.298,37.042,Minor,UV_811nm_15000_to_100,811.0,UV
5,404.380,25.425,21.478,Minor,UV_811nm_15000_to_100,811.0,UV
6,751.442,22.582,17.225,Medium,UV_811nm_15000_to_100,811.0,UV
7,578.802,20.302,16.169,Medium,UV_811nm_15000_to_100,811.0,UV
8,738.321,19.714,15.262,Medium,UV_811nm_15000_to_100,811.0,UV
9,800.871,18.850,12.546,Medium,UV_811nm_15000_to_100,811.0,UV
10,772.276,18.564,12.403,Medium,UV_811nm_15000_to_100,811.0,UV
11,576.653,17.814,5.494,Medium,UV_811nm_15000_to_100,811.0,UV
12,696.294,15.907,10.978,Medium,UV_811nm_15000_to_100,811.0,UV
13,364.895,15.406,11.626,Medium,UV_811nm_15000_to_100,811.0,UV
14,813.671,14.891,0.269,Medium,UV_811nm_15000_to_100,811.0,UV
15,794.577,14.669,9.196,Medium,UV_811nm_15000_to_100,811.0,UV
16,841.751,14.556,10.454,Strong,UV_811nm_15000_to_100,811.0,UV
17,706.525,14.054,9.061,Strong,UV_811nm_15000_to_100,811.0,UV
18,847.250,11.787,5.668,Strong,UV_811nm_15000_to_100,811.0,UV
19,803.511,11.038,1.415,Strong,UV_811nm_15000_to_100,811.0,UV
20,774.504,10.246,0.733,Strong,UV_811nm_15000_to_100,811.0,UV
21,729.452,9.872,4.379,Strong,UV_811nm_15000_to_100,811.0,UV
22,407.505,9.552,2.143,Strong,UV_811nm_15000_to_100,811.0,UV
23,844.195,9.375,0.497,Strong,UV_811nm_15000_to_100,811.0,UV
24,798.231,9.235,1.598,Strong,UV_811nm_15000_to_100,811.0,UV
25,825.466,9.147,4.377,Strong,UV_811nm_15000_to_100,811.0,UV
26,565.339,9.109,2.733,Strong,UV_811nm_15000_to_100,811.0,UV
27,754.473,8.886,0.654,Strong,UV_811nm_15000_to_100,811.0,UV
28,715.164,8.702,2.568,Strong,UV_811nm_15000_to_100,811.0,UV
29,581.344,8.676,0.601,Strong,UV_811nm_15000_to_100,811.0,UV
30,623.227,8.609,2.559,Strong,UV_811nm_15000_to_100,811.0,UV
31,666.506,8.560,2.711,Major,UV_811nm_15000_to_100,811.0,UV
32,827.500,8.511,1.460,Major,UV_811nm_15000_to_100,811.0,UV
33,727.035,8.478,2.924,Major,UV_811nm_15000_to_100,811.0,UV
34,769.644,8.457,1.490,Major,UV_811nm_15000_to_100,811.0,UV
35,644.620,8.449,3.386,Major,UV_811nm_15000_to_100,811.0,UV
36,621.252,8.330,1.976,Major,UV_811nm_15000_to_100,811.0,UV
37,626.193,8.315,1.827,Major,UV_811nm_15000_to_100,811.0,UV
38,702.912,8.291,2.494,Major,UV_811nm_15000_to_100,811.0,UV
39,638.271,8.225,1.662,Major,UV_811nm_15000_to_100,811.0,UV
40,786.868,8.179,2.911,Major,UV_811nm_15000_to_100,811.0,UV
41,732.273,8.162,1.019,Major,UV_811nm_15000_to_100,811.0,UV
42,694.290,8.138,0.699,Major,UV_811nm_15000_to_100,811.0,UV
43,709.136,7.943,0.684,Major,UV_811nm_15000_to_100,811.0,UV
44,597.810,7.929,2.223,Major,UV_811nm_15000_to_100,811.0,UV
45,723.411,7.916,2.621,Major,UV_811nm_15000_to_100,811.0,UV
46,683.480,7.893,2.653,Major,UV_811nm_15000_to_100,811.0,UV
47,646.605,7.811,1.757,Major,UV_811nm_15000_to_100,811.0,UV
48,635.496,7.789,1.886,Major,UV_811nm_15000_to_100,811.0,UV
49,718.582,7.786,1.589,Major,UV_811nm_15000_to_100,811.0,UV
50,832.792,7.743,3.173,Major,UV_811nm_15000_to_100,811.0,UV
