Reference,Nat./Syn.,Spec.,Var.,Shape,Weight,Color,Type,Nitrogen,Hydrogen,Platelets,Fluorsence,Treatment,Origin,Cert,Note,MFG.,DQS,Expected_L_Features,L_Crest_FWHM,Expected_B_Features,Expected_U_Features
1,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Thai,,,,,,,nan,
2,Nat.,Corundum,Ruby,OvCab,,Red,,,,,,,Africa,,,,,,,nan,
3,Nat.,Corundum,Ruby,Oval,,Red,,,,,,Heated,Thai,,,,,,,nan,
4,Nat.,Beryl,Aquamarine,Oval,,gnBl,,,,,,None,,,,,,,,nan,
5,Nat.,Spinel,Red,Round,,Dk. Red,,,,,,,,,,,,,,nan,
6,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Thai,,,,,,,nan,
7,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Thai,,,,,,,nan,
8,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Thai,,,,,,,nan,
9,Nat.,Corundum,Ruby,Oval,,Red,,,,,,Heated,Thai,,,,,,,nan,
10,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,,,,,,,,nan,
11,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Thai,,,,,,,nan,
12,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Thai,,,,,,,nan,
13,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Viet,,,,,,,nan,
14,Nat.,Quartz,Amethyst,Oval,,Purple,,,,,,,,,,,,,,nan,
15,Nat.,Beryl/Aqua,Aquamarine,Oval,,gnBl,,#SPILL!,,,,None,,,,,,,,nan,
16,Nat.,Corundum,Ruby ,,,,,,,,,Heated,Thai,,,,,,,nan,
17,Nat.,Corundum,Ruby ,Oval,,Red,,,,,,Heated,Thai,,,,,,,nan,
18,Nat.,Corundum,Brownish Orange Sapphire,Oval,,brOr,,,,,,Heated,Montana,,,,,,,nan,
19,Syn.,Spinel,Blue,Oval,,Blue,,,,,,,,,,,,,,nan,
20,Syn.(flux),Corundum,Orange Sapphire,Oval,,Orange,,,,,,,Chatham,,,,,,,nan,
21,Syn. (flux),Corundum,Orange Sapphire,Oval,,Orange,,,,,,,Chatham,,,,,,,nan,
22,Syn (flux),Corundum,Ruby,,,Red,,,,,,,Chatham,,,,,,,nan,
23,Syn (flux),Corundum,Ruby,Oval,,Red,,,,,,,Chatham,,,,,,,nan,
24,Syn.(flux),Corundum,Sapphire,Oval,,Blue,,,,,,,Chatham,,,,,,,nan,
25,Syn (flux),Corundum,Ruby,Oval,,Red,,,,,,,Chatham,,,,,,,nan,
26,Syn.(flux),Corundum,Sapphire,Oval,,Blue,,,,,,,Chatham,,,,,,,nan,
27,Nat.,Corundum,Ruby,SQ,1.57,Red,,,,,,,Burma,,,,,,,nan,
28,Nat.,Corundum,Sapphire,Pear,,brOr,,,,,,, ,,,,,,,nan,
29,Nat.,Corundum,Ruby,Round,,Red,,,,,,,,,,,,,,nan,
30,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Burma,,,,,,,nan,
31,Nat.,Corundum,Ruby,Cab.,,Red,,,,,,,Africa,,,,,,,nan,
32,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Vietnam,,,,,,,nan,
33,Nat.,Corundum,Pink Sapphire,Round,,Pink,,,,,,,,,,,,,,nan,
34,Nat.,Corundum,Ruby,Round,,Red,,,,,,,,,,,,,,nan,
35,Nat.,Corundum,Ruby,Round,,Red,,,,,,,Burma,,,,,,,nan,
36,Nat.,Corundum,Ruby,Oval,,Red,,,,,,Heated,Thai,,,,,,,nan,
37,Nat.,Corundum,Ruby,Oval,,Red,,,,,,Heated,Thai,,,,,,,nan,
38,Nat.,Corundum,Orange,Oval,,Orange,,,,,,,,,,,,,,nan,
39,Nat.,Corundum,Orangy Pink Sapphire,Oval,,Orangy  Pink,,,,,,,,,,,,,,nan,
40,Nat.,Labradaite,OrRd,Oval,,OrRd,,,,,,,Burma?, ,,,,,,nan,
41,Syn (flux),Corundum/Ruby,Ruby,Oval,,Red,,,,,,,,,Ramaura (flux),,,,,nan,
42,Syn (flux),Corundum/Ruby,Ruby,Emerald,,Red,,,,,,,,,Chatham(flux),,,,,nan,
43,Nat.,Spinel,Red,Rough,,Red,,,,,,,,,,,,,,nan,
44,Syn (FF),Corundum/Ruby,Ruby,Oval,,Red,,,,,,,,,,,,,,nan,
45,Nat.,Opal,White,OvCab,,White,,,,,,,,,,,,,,nan,
46,Nat.,Garnet,Pyrope,Triangle,,Red,,,,,,,,,,,,,,nan,
47,Nat.,Tourmaline,Rubilite,Triangle,,Red,,,,,,,,,,,,,,nan,
48,Syn.,Cubic Zirconia,Colorless,Pear,,Colorless,,,,,,,,,,,,,,nan,
49,Nat.,Halite,Blue,Pear,,sl.gnBl,,,,,,,,,,,,,,nan,
50,Nat.,Halite,Blue,Pear,,sl.gnBl,,,,,,,,,,,,,,nan,
51,Nat.,Beryl/Aqua,Aquamarine,Oval,,gnBl,,,,,,None,,,,,,,,nan,
52,Nat. ,Beryl/Aqua,Aquamarine,Oval,,gnBl,,,,,,None,,,,,,,,nan,
53,Nat. ,Beryl/Aqua,Aquamarine,Oval,,gnBl,,,,,,None,,,,,,,,nan,
54,Nat. ,Beryl/Aqua,Aquamarine,Oval,,gnBl,,,,,,None,,,,,,,,nan,
55,Nat.,Zoisite ,Tanzanite,Oval,,VBl,,,,,,,,,,,,,,nan,
56,Nat.,Iolite,Blue,Oval, ,Blue,,,,,,,,,,,,,,nan,
57,Nat.,Tourmaline,Green,SQ,,Green,,,,,,,,,,,,,,nan,
58,Nat.,Corundum,Brownish Orange Sapphire,Round,,BrownishOrange,,,,,,,,,,,,,,nan,
59,Nat.,Opal,Fire,Triangle,,Orange,,,,,,,,,,,,,,nan,
60,Syn ,Corundum/Orange  Sapphire,Orange  Sapphire,Pear,,Orange,,,,,,,,,Kyosera,,,,,nan,
61,Syn ,Corundum/Pink Star Sapphire, Pink Sapphire,Cab.,,Pink,,,,,,,,,Kyosera,,,,,nan,
62,Nat.,Zoisite/Tanzanite,Tanzanite,Oval,,VBl,,,,,,,,,,,,,,nan,
63,Nat.,Corundum,Sapphire,Rough,,Blue,,,,,,,,,,,,,,nan,
64,Nat.,Spinel,Red,Rough,,Red,,,,,,,,,,,,,,nan,
65,Nat.,Tourmaline,Indicolite,Rectangular,,Blue,,,,,,,,,,,,,,nan,
66,Nat.,Corundum,Sapphire,Round,,Blue,,,,,,,Tanzania,,,,,,,nan,
67,Nat.,Zoisite ,Tanzanite,Oval,,vBl,,,,,,,,,,,,,,nan,
68,Syn.(FF),Corundum,Sapphire,Emerald,,Blue,,,,,,,,,,,,,,nan,
69,Nat.,Beryl/Aqua,Aquamarine,Oval,,Blue,,,,,,,,,,,,,,nan,
70,Syn (FF),Corundum/Ruby,Ruby,Rectangular,,Red,,,,,,,,,,,,,,nan,
71,Syn.(FF),Corundum,Sapphire,Round,,Blue,,,,,,,,,,,,,,nan,
72,Syn.,Corundum/Purple Sapphire,Purple Sapphire,Heart,,Purple,,,,,,,,,,,,,,nan,
73,Syn.,Corundum,Purple Sapphire,Heart,,Purple,,,,,,,,,,,,,,nan,
74,Nat.,Spinel,Black,Round,,Black,,,,,,,,,,,,,,nan,
75,Nat.,Apatite,Blue-Green,Oval,,Blue-Green,,,,,,,,,,,,,,nan,
76,Syn (flux),Corundum/Ruby,Ruby,,,Red,,,,,,,,,,,,,,nan,
77,Syn.(FF),Corundum,Sapphire,Round,,Blue,,,,,,,,,,,,,,nan,
78,Syn (FF),Corundum/Ruby,Ruby,Triangle,,Red,,,,,,,,,,,,,,nan,
79,Nat.,Corundum,Brownish Orange,Oval,,Brownish Orange,,,,,,,,,,,,,,nan,
80,Nat.,Spinel,Red,Round,, Red,,,,,,,,,,,,,,nan,
81,Syn (FF),Corundum/Ruby,Ruby,Triangle,,Red,,,,,,,,,pair 607,,,,,nan,
82,Syn (FF),Corundum,Sapphire,Round,,Blue,,,,,,,,,pair 188,,,,,nan,
83,Syn.(FF),Corundum,Sapphire,Emerald,,Blue,,,,,,,,,Allanite,,,,,nan,
84,Syn (FF),Corundum,Ruby,Emerald,,Red,,,,,,,,,Allanite,,,,,nan,
85,Nat.,Quartz,Amethyst,Mq,,Purple,,,,,,,,,,,,,,nan,
86,Nat.,Quartz,Amethyst,SqB,,Purple,,,,,,,,,,,,,,nan,
87,Syn.,Spinel,Blue,Round,,Blue,,,,,,,,,,,,,,nan,
88,Nat.,Diaspore/Zultanite,Zultanite,Round,,,,,,,,,,,,,,,,nan,
89,Nat.,Andalusite,Yellowish Green,Pear,,yGn,,,,,,,,,,,,,,nan,
90,Nat.,Andalusite,Yellowish Green,Oval,,yGn,,,,,,,,,,,,,,nan,
91,Nat.,Andalusite,Orange,Oval,,Orange,,,,,,,,,,,,,,nan,
92,Nat.,Corundum,Brownish Orange Sapphire,Oval,,brOr,,,,,,,,,pair 614-616,,,,,nan,
93,Nat.,Topaz,Blue,Emerald,,Blue,,,,,,,,,,,,,,nan,
94,Syn (flux),Corundum/Ruby,Ruby,Oval,,Red,,,,,,,,,Kasham,,,,,nan,
95,Syn (flux),Corundum/Ruby,Ruby,Oval,,Red,,,,,,,,,Ramaura,,,,,nan,
96,Syn (Pulled),Corundum/Ruby,Ruby,Oval,,Red,,,,,,,,,Kyosara,,,,,nan,
97,Man-Made,Corundum/Ruby,Ruby Doublet,Oval,,Red,,,,,,Assembled,,,,,,,,nan,
98,Man-Made,Corundum/Ruby,Ruby Doublet,Oval,,Red,,,,,,Assembled,,,,,,,,nan,
99,Man-Made,Corundum/Ruby,Ruby Doublet,Oval,,Red,,,,,,Assembled,,,,,,,,nan,
100,Nat.,Corundum,Ruby,Oval,,Red,,,,,,,Thai,,,,,,,nan,
101,Nat.,Quartz,Blue CC ,Oval,,Blue,,,,,,Quench crackled,,,,,,,,nan,
102,Nat.,Tourmaline,Green (Cr),Oval,,Green,,,,,,,,,,,,,,nan,
103,Nat.,Tourmaline,Red-Green(watermelom),Emerald,,Red-Green,,,,,,,,,,,,,,nan,
