GemID,Orientation,ScanNo,LightSource,Expected_Features
58,C,1,B,"665C:51687, 693P:87815, 525S:8523, skew:1.04"
58,C,1,L,"660P:1616744, 670P:3405749, 675P:2823783, 708P:5324079, 714P:6315576, 694P:97245050"
58,C,1,U,"365P:1176, 404P:2053, 408P:379, 435P:8196, 545P:17616, 577P:2993, 579P:3499, 696P:4201, 706P:3654, 713P:626, 727P:1131, 739P:5673, 751P:6514, 763P:15766, 810P:14883, 800P:4832, 794P:3528, 771P:5252, 826P:1403, 840P:2091, 842P:3848, 851P:690, 912P:1180, 923P:277"
60,C,1,B,"665C:51073, 693P:61397, skew:0.85"
60,P,3,B,"676C:54186, 694P:157624, skew:1.52"
140,C,2,B,"670C:51264, skew:0.66"
140,P,2,B,"706C:58701, skew:0.79"
140,C,1,B,"668C:51636, skew:0.63"
140,P,1,B,"688C:53798, skew:0.68"
140,C,2,L,"432P:27347, 439P:47716, 453P:52446, 513P:30677, 519P:30100, 685C:9837, 444V:46607, 495V:22338, 615V:5836, 506S:26691"
140,P,2,L,"438P:48835, 452P:52319, 504P:18504, 512P:18111, 682C:7300, 444V:47206, 502V:17866, 508V:17767, 607V:3558, 431S:25197"
140,C,1,L,"432S:26071, 439P:47920, 452P:52187, 444V:46735, 496V:21499, 513P:28412, 520P:27806, 505P:25193, 616V:5440, 681C:8925"
140,P,1,L,"432P:25435, 439P:47732, 452P:52332, 444V:46539, 504P:20814, 512P:21214, 500V:19704, 610V:4529, 681C:9025"
140,C,2,U,"364P:5041, 404P:9026, 408P:2672, 435P:37568, 546P:39051, 577P:5880, 579P:6888, 696P:5000, 706P:4381, 738P:6576, 751P:7449, 763P:15696, 772P:6041, 795P:4521, 801P:5985, 811P:14908, 842P:4746, 912P:2068"
140,P,2,U,"364P:3799, 404P:6953, 436P:33501, 546P:34504, 577P:5109, 578P:5856, 696P:4574, 706P:4445, 738P:6449, 751P:7081, 763P:16313, 772P:5924, 794P:4070, 801P:5420, 811P:14899, 841P:4316, 912P:1455"
140,C,1,U,"365P:5501, 404P:9083, 407P:3322, 436P:34598, 546P:35999, 577P:6330, 579P:7348, 696P:5649, 707P:4996, 738P:7045, 751P:8054, 763P:15774, 772P:6659, 795P:5204, 801P:6629, 811P:14883, 842P:5195, 840P:3796, 912P:2488, 922P:1992"
140,P,1,U,"365P:4066, 404P:7282, 408P:1764, 436P:33592, 546P:34045, 579P:5817, 577P:5259, 696P:4414, 706P:4197, 738P:6368, 751P:7020, 763P:16103, 772P:5862, 794P:3980, 801P:5246, 811P:14945, 825P:1953, 840P:2786, 842P:4125, 912P:1576, 922P:838, 314P:988"
189,C,1,B,"646C:50074, skew:0.58"
189,C,2,B,"653C:50855, skew:0.58"
189,P,2,B,"660C:50674, skew:0.60"
189,C,1,L,"431P:35864, 452P:51045, 574P:7688, 739P:4409, 862P:1649, 433V:18619"
189,C,2,L,"431P:36044, 453P:50935, 575P:7525, 739P:4372, 862P:1575, 434V:18860"
189,P,2,L,"431P:35927, 452P:50853, 576P:7491, 738P:4548, 862P:1661, 434V:19497"
189,C,1,U,"297P:477, 302P:335, 313P:3743, 365P:10109, 404P:18597, 407P:3004, 435P:67783, 506P:24674, 545P:67298, 576P:9192, 579P:10446, 697P:4443, 706P:3906, 730P:2095, 738P:5953, 751P:6691, 763P:15783, 772P:5382, 794P:3571, 801P:4846, 811P:14911, 842P:3906, 871P:1109, 912P:1193, 923P:260"
