gem_id,light_source,wavelength,intensity,feature,feature_group,point_type,snr,analysis_date,normalization_scheme,reference_wavelength,symmetry_ratio,width_nm,prominence,category,file_source,import_timestamp
140BP2_halogen_structural,Halogen,703.13,99.46,Mound_Summary,Mound,Summary,,2025-09-09,Halogen_650nm_50000_to_100,654.954,1.131,579.51,,,140BP2_halogen_structural_20250909_100304.csv,2025-09-25 14:19:40
140LC2_laser_structural,Laser,683.2,18.1,Mound_Summary,Mound,Summary,,2025-08-21,Laser_Max_50000_to_100,452.649,0.382,228.69,,,140LC2_laser_structural_20250821_172719.csv,2025-09-25 14:19:40
140LP1_laser_structural,Laser,684.94,16.22,Mound_Summary,Mound,Summary,,2025-08-21,Laser_Max_50000_to_100,452.087,0.483,228.69,,,140LP1_laser_structural_20250821_173011.csv,2025-09-25 14:19:40
140LP2_laser_structural,Laser,684.94,13.48,Mound_Summary,Mound,Summary,,2025-08-21,Laser_Max_50000_to_100,452.462,0.489,229.55,,,140LP2_laser_structural_20250821_173257.csv,2025-09-25 14:19:40
140UC1_uv_structural_auto,UV,922.727,5.938,Peak_24,UV_Auto_Detection,Peak,,2025-09-25,UV_811nm_15000_to_100_UPDATED,811.0,,,4.542,Major,140UC1_uv_structural_auto_20250925_233339.csv,2025-09-30 05:52:52
140UC2_uv_structural_auto,UV,912.112,5.333,Peak_20,UV_Auto_Detection,Peak,,2025-09-25,UV_811nm_15000_to_100_UPDATED,811.0,,,3.644,Major,140UC2_uv_structural_auto_20250925_233512.csv,2025-09-30 05:52:52
140UP1_uv_structural_auto,UV,912.112,4.896,Peak_19,UV_Auto_Detection,Peak,,2025-09-25,UV_811nm_15000_to_100_UPDATED,811.0,,,4.318,Major,140UP1_uv_structural_auto_20250925_233553.csv,2025-09-30 05:52:52
140UP2_uv_structural_auto,UV,851.121,4.609,Peak_20,UV_Auto_Detection,Peak,,2025-09-25,UV_811nm_15000_to_100_UPDATED,811.0,,,3.453,Major,140UP2_uv_structural_auto_20250925_233704.csv,2025-09-30 05:52:52
189BC2_halogen_structural,Halogen,652.02,98.96,Mound_Summary,Mound,Summary,,2025-08-21,Halogen_650nm_50000_to_100,652.766,0.864,594.24,,,189BC2_halogen_structural_20250821_184019.csv,2025-09-25 14:19:40
189BP1_halogen_structural,Halogen,654.62,99.55,Mound_Summary,Mound,Summary,,2025-08-21,Halogen_650nm_50000_to_100,652.766,0.906,595.97,,,189BP1_halogen_structural_20250821_184106.csv,2025-09-25 14:19:40
189BP2_halogen_structural,Halogen,660.68,99.48,Mound_Summary,Mound,Summary,,2025-08-21,Halogen_650nm_50000_to_100,654.755,0.897,608.1,,,189BP2_halogen_structural_20250821_184207.csv,2025-09-25 14:19:41
189LC3_laser_structural,Laser,737.78,6.04,Peak_Max,Peak,Max,,2025-08-21,Laser_Max_50000_to_100,453.024,,,,,189LC3_laser_structural_20250821_185607.csv,2025-09-25 14:19:41
189LC4_laser_structural,Laser,738.77,6.57,Peak_Max,Peak,Max,,2025-08-21,Laser_Max_50000_to_100,452.274,,,,,189LC4_laser_structural_20250821_185855.csv,2025-09-25 14:19:41
189LP1_laser_structural,Laser,737.99,7.51,Peak_Max,Peak,Max,,2025-08-21,Laser_Max_50000_to_100,452.274,,,,,189LP1_laser_structural_20250821_190123.csv,2025-09-25 14:19:41
189LP2_laser_structural,Laser,738.14,7.39,Peak_Max,Peak,Max,,2025-08-21,Laser_Max_50000_to_100,452.274,,,,,189LP2_laser_structural_20250821_190314.csv,2025-09-25 14:19:41
189LP4_laser_structural,Laser,738.59,6.25,Peak_Max,Peak,Max,,2025-08-21,Laser_Max_50000_to_100,452.649,,,,,189LP4_laser_structural_20250821_190441.csv,2025-09-25 14:19:41
190BC1_halogen_structural,Halogen,752.5,73.43,Trough_End,Trough,End,,2025-08-21,Halogen_650nm_50000_to_100,651.772,,,,,190BC1_halogen_structural_20250821_184330.csv,2025-09-25 14:19:41
190BC2_halogen_structural,Halogen,750.77,74.15,Trough_End,Trough,End,,2025-08-21,Halogen_650nm_50000_to_100,654.954,,,,,190BC2_halogen_structural_20250821_184442.csv,2025-09-25 14:19:41
