GemID,Mismatch_Score,Missing_Count,Extra_Count,Missing_Features,Extra_Features
C0011,100,33,26,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","C_520.0, C_722.7, P_364.8, P_403.1, P_407.2, P_430.4, P_435.4, P_489.9, P_505.6, P_545.8, P_576.8, P_578.7, P_696.4, P_706.6, P_738.4, P_751.6, P_763.2, P_772.3, P_794.3, P_801.1, P_811.1, P_826.1, P_841.8, P_851.6, P_912.3, P_922.7"
413,106,33,27,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","C_676.2, P_313.0, P_364.9, P_404.4, P_407.4, P_435.6, P_439.2, P_452.3, P_545.9, P_576.7, P_578.8, P_696.3, P_706.6, P_738.1, P_751.3, P_763.1, P_772.2, P_794.3, P_800.5, P_810.8, P_825.8, P_841.7, P_851.3, P_912.2, P_922.6, T_415.4, V_443.5"
363,106,33,27,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","C_676.2, P_313.0, P_364.9, P_404.4, P_407.4, P_435.6, P_439.2, P_452.3, P_545.9, P_576.7, P_578.8, P_696.3, P_706.6, P_738.1, P_751.3, P_763.1, P_772.2, P_794.3, P_800.5, P_810.8, P_825.8, P_841.7, P_851.3, P_912.2, P_922.6, T_415.4, V_443.5"
214,113,33,29,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","C_681.9, P_313.0, P_364.9, P_404.4, P_407.6, P_435.3, P_439.6, P_452.3, P_545.6, P_576.0, P_576.6, P_578.8, P_696.5, P_706.6, P_727.1, P_738.2, P_751.2, P_763.2, P_772.2, P_794.6, P_801.0, P_810.9, P_825.7, P_840.3, P_841.7, P_851.2, P_912.3, P_922.5, V_443.6"
416,117,33,31,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","C_669.7, P_312.9, P_365.0, P_404.4, P_407.5, P_431.3, P_435.5, P_452.7, P_520.4, P_545.8, P_576.8, P_578.9, P_696.2, P_706.6, P_727.1, P_738.2, P_751.2, P_763.1, P_772.3, P_794.6, P_801.1, P_810.8, P_826.0, P_841.8, P_851.5, P_866.2, P_912.3, P_922.7, S_514.6, V_443.9, V_479.6"
453,120,33,32,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","C_497.0, C_594.5, C_671.1, P_364.9, P_404.3, P_407.6, P_435.6, P_439.4, P_452.1, P_514.5, P_545.9, P_576.8, P_578.8, P_696.2, P_706.7, P_727.2, P_729.1, P_738.1, P_751.0, P_763.2, P_772.2, P_794.6, P_800.9, P_810.9, P_826.1, P_840.2, P_841.6, P_851.4, P_912.2, P_922.7, V_447.4, V_482.7"
361,126,33,32,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","C_659.0, P_312.7, P_364.9, P_404.4, P_407.5, P_419.9, P_431.5, P_435.5, P_439.4, P_452.4, P_545.9, P_576.8, P_578.7, P_696.3, P_706.6, P_727.1, P_729.7, P_738.1, P_751.1, P_762.9, P_772.3, P_794.2, P_800.8, P_811.2, P_826.1, P_840.1, P_841.6, P_851.5, P_912.4, P_922.9, T_415.6, V_443.9"
197,127,33,32,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","P_312.9, P_364.9, P_404.4, P_407.6, P_415.4, P_435.4, P_439.2, P_452.5, P_506.9, P_545.0, P_576.5, P_576.7, P_578.8, P_693.4, P_696.5, P_706.6, P_726.9, P_729.3, P_738.4, P_751.2, P_763.3, P_772.1, P_794.2, P_800.8, P_810.7, P_825.9, P_840.2, P_841.8, P_851.6, P_912.2, P_922.8, V_443.4"
218,134,33,34,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","C_668.3, P_313.0, P_334.2, P_364.8, P_404.4, P_407.5, P_431.2, P_435.5, P_439.3, P_452.3, P_546.0, P_576.8, P_578.8, P_696.3, P_706.7, P_726.9, P_729.8, P_738.2, P_751.1, P_763.2, P_772.3, P_794.3, P_800.8, P_811.2, P_825.9, P_840.1, P_841.8, P_851.6, P_862.1, P_871.3, P_912.2, P_922.7, T_415.5, V_443.7"
C0000,135,33,35,"Crest_681.2, Crest_687.6, Peak_313.6, Peak_365.0, Peak_404.3, Peak_407.6, Peak_431.5, Peak_435.5, Peak_439.3, Peak_452.2, Peak_503.7, Peak_512.3, Peak_545.8, Peak_576.6, Peak_578.9, Peak_696.3, Peak_706.5, Peak_738.1, Peak_751.3, Peak_763.1, Peak_772.2, Peak_794.4, Peak_800.7, Peak_810.9, Peak_825.4, Peak_840.1, Peak_841.8, Peak_912.2, Peak_922.5, Skew_0.0, Valley_444.0, Valley_500.1, Valley_609.5","C_663.3, P_296.6, P_302.1, P_312.9, P_334.1, P_364.6, P_404.4, P_435.4, P_449.2, P_503.7, P_507.0, P_513.0, P_545.0, P_575.8, P_576.7, P_578.7, P_696.2, P_706.7, P_727.0, P_738.1, P_738.2, P_751.0, P_763.2, P_772.2, P_794.4, P_800.9, P_810.9, P_825.9, P_840.3, P_841.9, P_851.5, P_866.5, P_912.5, P_922.5, S_507.5"
